OTU_ID	Bre_1_S21_WoL_subset	Bre_2_S22_WoL_subset	Bur_1_S31_WoL_subset	Bur_2_S32_WoL_subset	Bur_Fru_1_S9_WoL_subset	Bur_Fru_2_S10_WoL_subset	Bur_Rib_1_S11_WoL_subset	Bur_Rib_2_S12_WoL_subset	Bur_Tre_1_S5_WoL_subset	Bur_Tre_2_S6_WoL_subset	Chi_1_S27_WoL_subset	Chi_2_S28_WoL_subset	Chi_Glu_1_S17_WoL_subset	Chi_Glu_2_S18_WoL_subset	Chi_Thio_1_S33_WoL_subset	Chi_Thio_2_S34_WoL_subset	Fru_1_S47_WoL_subset	Fru_2_S48_WoL_subset	Fru_SynCom_1_S59_WoL_subset	Fru_SynCom_2_S60_WoL_subset	Glu_1_S45_WoL_subset	Glu_2_S46_WoL_subset	Glu_SynCom_1_S55_WoL_subset	Glu_SynCom_2_S56_WoL_subset	Lys_1_S23_WoL_subset	Lys_2_S24_WoL_subset	Mal_1_S37_WoL_subset	Mal_2_S38_WoL_subset	Mal_SynCom_1_S53_WoL_subset	Mal_SynCom_2_S54_WoL_subset	Pae_1_S29_WoL_subset	Pae_2_S30_WoL_subset	Pae_Put_1_S1_WoL_subset	Pae_Put_2_S2_WoL_subset	Pae_Rib_1_S13_WoL_subset	Pae_Rib_2_S14_WoL_subset	Pae_Tre_1_S7_WoL_subset	Pae_Tre_2_S8_WoL_subset	Put_SynCom_1_S57_WoL_subset	Put_SynCom_2_S58_WoL_subset	Putr_1_S41_WoL_subset	Putr_2_S42_WoL_subset	Rhi_1_S25_WoL_subset	Rhi_2_S26_WoL_subset	Rhi_Glu_1_S15_WoL_subset	Rhi_Glu_2_S16_WoL_subset	Rho_1_S19_WoL_subset	Rho_2_S20_WoL_subset	Rho_Put_1_S3_WoL_subset	Rho_Put_2_S4_WoL_subset	Rib_1_S35_WoL_subset	Rib_2_S36_WoL_subset	Rib_Neg_S83_WoL_subset	Rib_SynCom_1_S61_WoL_subset	Rib_SynCom_2_S62_WoL_subset	ST_1_S39_WoL_subset	ST_2_S40_WoL_subset	ST_SynCom_1_S51_WoL_subset	ST_SynCom_2_S52_WoL_subset	Soil_1_S65_WoL_subset	Soil_2_S66_WoL_subset	Soil_3_S67_WoL_subset	Soil_Exudate_1_S68_WoL_subset	Soil_Exudate_2_S69_WoL_subset	Soil_Exudate_3_S70_WoL_subset	Soil_LB_1_S74_WoL_subset	Soil_LB_2_S75_WoL_subset	Soil_LB_3_S76_WoL_subset	Soil_SynCom_1_S49_WoL_subset	Soil_SynCom_2_S50_WoL_subset	Soil_SynCom_Exudate_1_S71_WoL_subset	Soil_SynCom_Exudate_2_S72_WoL_subset	Soil_SynCom_Exudate_3_S73_WoL_subset	Soil_SynCom_LB_1_S77_WoL_subset	Soil_SynCom_LB_2_S78_WoL_subset	Soil_SynCom_LB_3_S79_WoL_subset	Soil_Water_1_S80_WoL_subset	Soil_Water_2_S81_WoL_subset	Soil_Water_3_S82_WoL_subset	Tre_1_S43_WoL_subset	Tre_2_S44_WoL_subset	Tre_Neg_S84_WoL_subset	Tre_SynCom_1_S63_WoL_subset	Tre_SynCom_2_S64_WoL_subset
G001440475	54716.0	29420.0	37369.0	40523.0	29116.0	24785.0	31552.0	21186.0	33972.0	20454.0	26827.0	27302.0	35681.0	25812.0	23580.0	25011.0	36505.0	40988.0	43883.0	48569.0	28149.0	17321.0	52073.0	7063.0	35235.0	44302.0	18250.0	31733.0	37286.0	31845.0	37836.0	26692.0	23539.0	18530.0	27799.0	22574.0	30689.0	23237.0	20686.0	23333.0	23462.0	14264.0	33317.0	38059.0	25540.0	20836.0	37572.0	35341.0	30189.0	21582.0	25248.0	14143.0	171128.0	23350.0	31974.0	32915.0	16356.0	44966.0	68600.0	50520.0	6897.0	35665.0	41517.0	33646.0	45442.0	1994.0	12528.0	4269.0	29534.0	29536.0	60703.0	34789.0	41988.0	2326.0	7637.0	11898.0	9002.0	47202.0	42305.0	33141.0	47557.0	392.0	18236.0	14496.0
G001457475	7808.0	6202.0	7827.0	5748.0	1207.0	1306.0	772.0	733.0	1168.0	1001.0	6889.0	3331.0	15933.0	11757.0	14046.0	6286.0	1431.0	2451.0	3288.0	3607.0	4980.0	19850.0	60566.0	1451.0	8744.0	6899.0	266.0	475.0	2045.0	2606.0	10626.0	6573.0	4874.0	12243.0	956.0	1041.0	938.0	929.0	858827.0	6431.0	8292.0	15624.0	8923.0	7209.0	8891.0	3884.0	5747.0	10009.0	16290.0	7488.0	1445.0	626.0	10342.0	1592.0	2450.0	4356.0	12418.0	6672.0	9254.0	17851.0	8598.0	11606.0	3281.0	4570.0	5674.0	657378.0	574512.0	1645690.0	7290.0	5324.0	3829.0	6561.0	3758.0	116984.0	2392509.0	2779212.0	1675.0	2817.0	3090.0	1796.0	1422.0	1299.0	2981.0	1066.0
G001511815	14972.0	10011.0	10355.0	10973.0	12841.0	11714.0	13308.0	7862.0	18719.0	12552.0	9007.0	6612.0	11954.0	9859.0	10643.0	9471.0	20933.0	26924.0	19698.0	25105.0	10175.0	8602.0	9222.0	1984.0	11213.0	13189.0	9662.0	23207.0	20942.0	25506.0	12747.0	8800.0	7505.0	7612.0	11446.0	14757.0	15368.0	12997.0	9566.0	9790.0	10588.0	6427.0	10774.0	11974.0	9962.0	7321.0	9077.0	8919.0	4962.0	6875.0	12204.0	8960.0	239.0	14417.0	22531.0	11013.0	10033.0	14925.0	16249.0	13978.0	3191.0	12148.0	11345.0	8957.0	11290.0	1036.0	3632.0	1616.0	9959.0	8819.0	11347.0	9685.0	9802.0	1319.0	2906.0	3722.0	3753.0	12126.0	12759.0	22407.0	28026.0	331.0	17393.0	15769.0
G001542405	11038.0	6166.0	7085.0	8040.0	1076.0	1102.0	1351.0	806.0	1109.0	641.0	7213.0	5416.0	9696.0	7612.0	7334.0	7630.0	1355.0	1055.0	1330.0	1412.0	4744.0	5306.0	10337.0	1552.0	7183.0	8159.0	196.0	401.0	1066.0	1104.0	8344.0	5631.0	11928.0	8311.0	818.0	1244.0	940.0	809.0	7732.0	9001.0	5998.0	4946.0	9474.0	9779.0	7063.0	7424.0	7832.0	9958.0	7785.0	8868.0	507.0	379.0	1031.0	864.0	1671.0	5233.0	5755.0	14534.0	15113.0	6812.0	1314.0	4884.0	14819.0	10720.0	14569.0	869.0	2689.0	2004.0	5842.0	6868.0	16593.0	12919.0	12209.0	897.0	2464.0	6128.0	2166.0	8257.0	8707.0	592.0	840.0	368.0	1200.0	1069.0
G001579845	33569.0	21184.0	23807.0	24746.0	10205.0	10413.0	18741.0	10907.0	14127.0	8673.0	21418.0	17394.0	26991.0	20732.0	19506.0	19556.0	9427.0	13108.0	14687.0	16910.0	13738.0	10234.0	23173.0	3225.0	25025.0	25967.0	3876.0	10607.0	16878.0	14608.0	28563.0	18677.0	12919.0	11702.0	13480.0	12458.0	12266.0	10036.0	11133.0	13159.0	12308.0	7906.0	24431.0	27987.0	20316.0	17193.0	25153.0	27138.0	11941.0	14250.0	8291.0	5562.0	16922.0	13607.0	19668.0	14027.0	11335.0	29614.0	34916.0	22030.0	4108.0	17945.0	28672.0	21039.0	26748.0	1191.0	5531.0	2109.0	18552.0	18236.0	34294.0	24220.0	25854.0	1400.0	4347.0	6661.0	4869.0	24303.0	26387.0	9367.0	13153.0	637.0	10214.0	8315.0
G001591445	20667.0	8323.0	16482.0	8903.0	26238.0	23527.0	16143.0	10495.0	32750.0	16466.0	8381.0	13354.0	2867.0	2037.0	18617.0	17697.0	17077.0	20919.0	36505.0	22082.0	1231.0	1816.0	523.0	391.0	6929.0	1370.0	4084.0	6286.0	9537.0	4119.0	15661.0	15341.0	23395.0	20099.0	10342.0	30442.0	19242.0	17427.0	2199.0	3547.0	15392.0	6509.0	19194.0	13800.0	1432.0	1823.0	16408.0	26809.0	22230.0	6192.0	3956.0	5827.0	15.0	3808.0	31871.0	3784.0	2772.0	16043.0	23557.0	1221.0	3819.0	3540.0	8963.0	2043.0	9688.0	3131.0	12445.0	5029.0	2383.0	12365.0	14600.0	14738.0	12859.0	1272.0	599.0	4593.0	416.0	487.0	763.0	21557.0	16498.0	40.0	40340.0	45210.0
G001591525	621.0	315.0	817.0	1210.0	27394.0	22170.0	12515.0	8431.0	26671.0	15672.0	551.0	417.0	614.0	668.0	931.0	1161.0	7290.0	8689.0	15432.0	7104.0	772.0	1371.0	237.0	143.0	417.0	1208.0	4098.0	7204.0	10362.0	5237.0	828.0	764.0	531.0	406.0	6400.0	23443.0	18513.0	16128.0	109.0	135.0	484.0	276.0	853.0	574.0	700.0	360.0	745.0	1089.0	711.0	348.0	1592.0	2106.0	5.0	2403.0	20220.0	198.0	146.0	629.0	836.0	1068.0	259.0	589.0	1924.0	1542.0	2853.0	395.0	2060.0	647.0	212.0	506.0	2663.0	2506.0	2338.0	212.0	212.0	1102.0	489.0	419.0	793.0	9225.0	9747.0	20.0	26507.0	31789.0
G001598255	10505.0	7227.0	6664.0	5670.0	1308.0	1286.0	1115.0	761.0	1245.0	914.0	5672.0	3624.0	7014.0	4758.0	2997.0	2862.0	1295.0	2387.0	2130.0	2871.0	7881.0	6862.0	10289.0	1171.0	6926.0	6264.0	342.0	737.0	1461.0	2357.0	6900.0	4866.0	6838.0	6239.0	931.0	1669.0	1285.0	1062.0	40930.0	144901.0	6819.0	10886.0	7478.0	6759.0	7104.0	4919.0	6944.0	7997.0	8157.0	8172.0	893.0	826.0	48850.0	1315.0	2592.0	3198.0	2932.0	7319.0	5762.0	10539.0	3264.0	14040.0	8781.0	6863.0	8726.0	754.0	3011.0	1731.0	5665.0	5167.0	6967.0	5359.0	5496.0	616.0	5607.0	5368.0	1973.0	5557.0	5126.0	1270.0	1305.0	207.0	1600.0	1431.0
G001605965	12259.0	8808.0	11808.0	6194.0	8901.0	8513.0	2948.0	2181.0	6636.0	4155.0	8026.0	8795.0	5745.0	12682.0	7752.0	10018.0	7151.0	11300.0	19173.0	25379.0	3660.0	10848.0	17411.0	2633.0	9038.0	10596.0	3033.0	5580.0	11068.0	30194.0	10928.0	10798.0	14429.0	9638.0	5647.0	10411.0	6757.0	5341.0	13165.0	10351.0	12819.0	10936.0	11579.0	11575.0	4467.0	2892.0	14128.0	12426.0	5641.0	7932.0	7545.0	6567.0	291.0	22174.0	54947.0	11708.0	11061.0	20874.0	15128.0	29184.0	8619.0	11609.0	8805.0	4274.0	9912.0	5860.0	24077.0	6445.0	38670.0	17447.0	14085.0	17490.0	9375.0	12027.0	59931.0	23762.0	801.0	1602.0	1368.0	9763.0	10331.0	77.0	16817.0	23031.0
G001623875	3018.0	1314.0	1825.0	2402.0	21679.0	19541.0	56132.0	40442.0	33408.0	18484.0	2913.0	1829.0	4249.0	3886.0	1574.0	1699.0	35993.0	30948.0	37966.0	20407.0	2977.0	6463.0	1248.0	1104.0	1692.0	3953.0	15462.0	32027.0	36670.0	6102.0	2885.0	2401.0	3640.0	3300.0	56925.0	52226.0	17245.0	18583.0	806.0	1071.0	3296.0	1577.0	2457.0	2496.0	3281.0	2280.0	1828.0	2193.0	3131.0	2143.0	42344.0	44894.0	12.0	19671.0	58060.0	517.0	426.0	1387.0	1415.0	2759.0	1028.0	1571.0	781.0	642.0	1637.0	1636.0	10507.0	3091.0	1513.0	3306.0	1239.0	1104.0	894.0	2001.0	891.0	7740.0	127.0	168.0	212.0	34807.0	35277.0	53.0	37099.0	41784.0
